"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103" "V104" "V105" "V106" "V107" "V108" "V109" "V110" "V111" "V112" "V113" "V114" "V115" "V116" "V117" "V118" "V119" "V120" "V121" "V122" "V123" "V124" "V125" "V126" "V127" "V128" "V129" "V130" "V131" "V132" "V133" "V134" "V135" "V136" "V137" "V138" "V139" "V140" "V141" "V142" "V143" "V144" "V145" "V146" "V147" "V148" "V149" "V150" "V151" "V152" "V153" "V154" "V155" "V156" "V157" "V158" "V159" "V160" "V161" "V162" "V163" "V164" "V165" "V166" "V167" "V168" "V169" "V170" "V171" "V172" "V173" "V174" "V175" "V176" "V177" "V178" "V179" "V180" "V181" "V182" "V183" "V184" "V185" "V186" "V187" "V188" "V189" "V190" "V191" "V192" "V193" "V194" "V195" "V196" "V197" "V198" "V199" "V200" "V201" "V202" "V203" "V204" "V205" "V206" "V207" "V208" "V209" "V210" "V211" "V212" "V213" "V214" "V215" "V216" "V217" "V218" "V219" "V220" "V221" "V222" "V223" "V224" "V225" "V226" "V227" "V228" "V229" "V230" "V231" "V232" "V233" "V234" "V235" "V236" "V237" "V238" "V239" "V240" "V241" "V242" "V243" "V244" "V245" "V246" "V247" "V248" "V249" "V250" "V251" "V252" "V253" "V254" "V255" "V256" "V257" "V258" "V259" "V260" "V261" "V262" "V263" "V264" "V265" "V266" "V267" "V268" "V269" "V270" "V271" "V272" "V273" "V274" "V275" "V276" "V277" "V278" "V279" "V280" "V281" "V282" "V283" "V284" "V285" "V286" "V287" "V288" "V289" "V290" "V291" "V292" "V293" "V294" "V295" "V296" "V297" "V298" "V299" "V300" "V301" "V302" "V303" "V304" "V305" "V306" "V307" "V308" "V309" "V310" "V311" "V312" "V313" "V314" "V315" "V316" "V317" "V318" "V319" "V320" "V321" "V322" "V323" "V324" "V325" "V326" "V327" "V328" "V329" "V330" "V331" "V332" "V333" "V334" "V335" "V336" "V337" "V338" "V339" "V340" "V341" "V342" "V343" "V344" "V345" "V346" "V347" "V348" "V349" "V350" "V351" "V352" "V353" "V354" "V355" "V356" "V357" "V358" "V359" "V360" "V361" "V362" "V363" "V364" "V365" "V366" "V367" "V368" "V369" "V370" "V371" "V372" "V373" "V374" "V375" "V376" "V377" "V378" "V379" "V380" "V381" "V382" "V383" "V384" "V385" "V386" "V387" "V388" "V389" "V390" "V391" "V392" "V393" "V394" "V395" "V396" "V397" "V398" "V399" "V400" "V401" "V402" "V403" "V404" "V405" "V406" "V407" "V408" "V409" "V410" "V411" "V412" "V413" "V414" "V415" "V416" "V417" "V418" "V419" "V420" "V421" "V422" "V423" "V424" "V425" "V426" "V427" "V428" "V429" "V430" "V431" "V432" "V433" "V434" "V435" "V436" "V437" "V438" "V439" "V440" "V441" "V442" "V443" "V444" "V445" "V446" "V447" "V448" "V449" "V450" "V451" "V452" "V453" "V454" "V455" "V456" "V457" "V458" "V459" "V460" "V461" "V462" "V463" "V464" "V465" "V466" "V467" "V468" "V469" "V470" "V471" "V472" "V473" "V474" "V475" "V476" "V477" "V478" "V479" "V480" "V481" "V482" "V483" "V484" "V485" "V486" "V487" "V488" "V489" "V490" "V491" "V492" "V493" "V494" "V495" "V496" "V497" "V498" "V499" "V500"
"cell_1" 3 0 1 0 8 0 61 1 24 1 1 4 0 0 1 8 0 2 5 6 0 7 1 5 0 3 10 0 0 3 9 2 0 0 3 0 1 1 2 1 55 13 3 0 2 0 6 0 2 2 0 3 12 7 15 5 2 1 15 24 2 0 1 6 0 45 1 1 0 0 1 0 0 1 0 9 0 0 3 2 5 1 0 0 7 0 1 0 5 0 8 3 6 0 0 0 1 1 2 0 2 0 1 21 0 0 3 0 0 1 0 2 5 24 2 0 6 3 0 0 0 3 0 3 5 1 3 0 12 1 2 26 7 0 3 3 2 0 16 2 33 1 13 4 2 1 2 9 16 0 3 1 2 14 1 1 1 2 1 2 4 0 2 1 0 4 2 0 1 3 0 0 0 0 0 0 0 1 0 52 0 0 0 7 64 0 3 4 0 3 2 10 1 2 2 4 25 0 5 0 2 264 0 12 0 0 3 0 16 31 4 1 3 2 2 0 1 0 1 11 2 7 0 8 1 4 0 1 3 1 0 2 7 3 0 7 0 2 4 12 4 0 4 8 2 1 0 5 3 35 0 2 0 1 5 0 7 0 0 12 0 0 22 2 2 2 0 2 3 1 4 12 3 0 2 2 0 7 2 0 2 9 0 0 0 0 2 0 2 9 0 1 6 1 1 0 8 0 0 0 3 1 8 4 4 0 1 0 0 1 6 7 4 0 9 0 0 1 1 0 4 3 0 1 0 0 1 1 6 1 0 3 1 0 0 6 2 5 5 3 0 5 0 0 0 0 0 4 3 0 0 10 1 1 2 27 1 12 2 9 4 0 0 6 0 1 3 1 0 0 0 0 0 66 1 1 0 0 1 3 9 6 3 0 0 1 2 0 2 0 1 4 0 20 465 0 2 2 0 0 4 6 3 0 0 0 0 4 1 3 0 1 4 4 4 5 1 0 4 1 0 1 0 1 25 0 7 0 2 1 17 83 0 209 2 0 1 27 1 0 0 3 0 0 0 1 0 6 1 0 7 0 6 7 0 1 32 5 11 1 15 10 0 7 0 0 4 1 1 0 0 2 1 12 0 12 3 5 1 21 0 1 4 7 0 7 3 132 1 3 3 1 3 0 0 5 5 0 1 3
"cell_2" 1 0 1 1 1 0 37 1 0 0 0 4 0 0 7 0 0 1 0 4 0 16 0 6 3 2 7 0 0 0 13 1 0 0 1 0 2 1 6 0 33 7 1 0 0 0 2 0 1 0 3 0 13 4 11 0 0 2 2 17 5 0 0 3 0 62 2 4 1 0 0 0 0 1 0 1 0 0 4 2 2 2 1 1 5 1 0 3 11 0 9 2 1 5 0 0 0 2 3 0 0 0 0 23 0 0 2 0 0 4 3 0 3 14 0 0 0 2 0 0 0 3 0 0 12 0 1 0 6 0 2 1 0 1 0 2 0 0 0 1 28 0 7 2 0 0 3 4 28 0 0 1 1 1 0 0 0 2 0 0 0 0 1 1 0 2 0 0 1 4 0 0 0 0 0 0 2 2 0 40 1 0 0 2 56 0 0 4 0 2 0 2 3 2 0 2 15 0 0 1 1 162 1 13 0 0 2 0 0 12 1 1 5 2 4 1 1 0 0 196 1 6 1 4 1 4 0 4 1 0 0 4 1 1 0 6 1 0 0 7 1 2 0 2 0 0 0 2 1 12 4 0 0 0 8 2 0 1 0 8 0 0 8 5 6 4 1 0 2 2 0 11 0 5 0 1 0 2 1 0 3 1 1 0 0 0 0 0 0 7 0 0 2 1 0 0 9 1 2 0 0 0 10 4 7 2 0 0 1 0 5 5 0 0 1 0 0 1 0 0 18 4 1 0 0 1 0 0 26 0 0 2 0 1 0 1 0 1 25 1 2 4 0 0 2 0 0 3 0 0 1 3 3 0 2 50 2 0 0 2 4 2 0 0 0 0 0 0 0 0 1 0 0 17 1 2 0 4 0 3 16 0 0 0 0 6 0 1 2 3 0 2 0 3 313 0 2 3 3 0 0 1 4 0 1 0 1 2 3 0 0 0 1 1 9 1 0 0 6 0 0 2 0 1 3 8 28 1 2 0 10 62 0 326 1 0 2 6 8 0 0 0 0 0 0 2 0 3 0 0 9 1 0 3 0 0 11 3 1 0 8 0 1 0 0 0 0 1 6 0 0 5 0 16 0 6 0 0 0 3 1 0 1 16 0 0 0 119 0 2 2 9 5 4 0 1 0 1 0 0
"cell_3" 0 0 0 0 0 0 32 1 56 1 0 4 0 1 1 4 1 2 7 5 0 10 0 3 1 0 11 0 0 1 6 3 2 1 3 1 2 0 0 1 18 11 1 0 2 0 0 0 0 1 1 0 6 2 5 0 0 0 1 13 7 0 2 3 0 7 2 2 0 0 1 0 0 0 0 0 0 0 1 10 3 1 1 0 0 0 1 2 5 0 7 0 1 3 0 0 0 1 2 0 0 0 0 40 0 0 17 0 0 0 0 0 7 19 1 0 1 2 1 0 1 2 2 6 5 0 3 6 5 0 7 7 1 0 0 1 0 1 13 0 22 4 17 5 0 0 0 6 18 0 5 2 0 4 4 0 0 10 0 1 2 0 1 1 0 0 1 1 1 3 0 0 0 2 0 7 0 7 2 61 0 0 0 4 33 0 3 5 0 1 0 4 1 0 4 2 23 6 1 0 4 272 0 19 0 0 4 0 0 16 2 0 4 2 5 0 1 0 0 54 2 0 0 2 0 11 0 1 3 1 1 3 4 5 0 2 3 2 0 10 1 0 9 8 0 7 0 4 1 18 0 0 0 1 6 2 3 0 0 5 2 0 21 5 0 2 3 0 1 2 6 10 0 0 0 5 1 12 0 0 3 0 5 0 0 0 3 0 0 1 2 0 1 0 2 1 2 7 0 0 0 0 10 4 5 0 1 3 0 0 3 6 1 0 0 0 0 0 1 0 14 3 0 1 5 0 0 2 7 0 1 1 1 0 0 0 6 1 27 2 0 2 1 0 2 0 0 0 1 0 1 0 3 0 0 27 0 6 1 13 13 1 0 1 0 1 0 0 0 1 3 2 0 64 0 0 0 3 0 7 11 2 4 2 3 6 2 0 9 0 0 3 0 19 487 0 3 4 0 3 1 1 3 1 11 1 1 6 2 1 0 0 0 3 3 1 0 2 6 2 0 0 3 1 31 2 18 0 0 6 19 65 0 268 5 0 0 8 9 1 0 5 0 0 0 1 2 3 2 0 6 0 3 1 1 3 20 9 0 0 14 0 0 1 0 1 2 0 0 0 0 1 3 31 0 9 10 3 0 17 1 2 3 20 0 7 1 116 0 3 5 0 5 2 1 3 3 2 0 0
"cell_4" 4 0 0 0 2 0 70 4 66 0 1 5 0 1 10 8 1 0 5 3 0 12 2 4 10 1 4 0 0 3 10 2 0 0 7 0 0 0 7 1 29 15 2 1 1 0 0 0 0 3 1 0 11 2 11 3 0 0 16 13 30 1 2 4 0 87 1 3 0 0 0 0 3 0 0 0 0 0 1 0 3 8 1 2 15 2 1 2 9 0 13 0 1 1 1 0 1 1 10 0 0 0 0 43 0 0 7 0 0 1 2 0 3 9 3 0 3 5 0 0 1 3 0 2 1 1 2 0 22 1 9 17 0 0 1 1 0 0 6 1 22 4 16 10 0 0 2 7 9 0 7 3 0 3 0 1 0 2 0 0 0 0 1 2 1 2 1 2 0 11 0 1 0 2 0 1 0 4 0 54 0 0 0 6 61 0 0 4 0 1 2 10 0 1 3 1 21 7 2 0 1 235 0 15 0 0 7 0 2 19 3 0 0 1 0 0 1 1 0 61 0 4 0 3 0 1 0 1 2 0 0 4 3 4 0 5 0 4 0 11 5 29 5 4 0 1 4 0 2 14 0 2 0 1 0 4 0 0 0 7 1 0 26 3 2 8 1 0 0 0 0 4 0 1 0 3 0 3 3 1 2 5 1 0 0 0 0 0 2 5 6 0 1 4 0 0 0 1 0 0 0 0 10 0 11 1 1 0 0 0 7 4 4 1 8 0 4 3 1 0 19 2 1 1 0 0 2 1 10 6 0 3 5 0 1 2 7 7 41 2 1 5 0 0 0 0 0 3 3 0 3 2 9 0 0 29 0 11 1 15 13 1 0 2 0 0 2 2 3 0 6 2 2 56 3 7 0 10 0 5 21 3 4 5 0 8 2 2 0 0 1 5 0 18 383 1 2 0 0 4 0 2 6 0 1 1 2 1 1 4 0 0 2 1 26 0 0 0 6 2 2 0 0 6 22 3 9 0 5 2 9 97 0 237 4 0 2 10 4 0 0 4 0 0 1 0 1 7 4 0 5 0 5 5 0 2 17 7 2 0 6 0 1 2 0 0 3 3 0 0 0 1 0 21 0 15 1 2 0 9 0 1 1 6 1 0 0 254 1 1 2 10 12 0 3 1 4 1 0 1
"cell_5" 0 0 0 0 4 0 38 1 16 1 3 6 1 0 13 2 0 1 1 9 0 20 2 6 2 1 2 0 0 1 11 0 0 0 2 0 6 0 3 1 1 14 0 0 0 0 1 0 0 2 0 0 5 6 6 1 0 0 11 8 41 0 2 3 0 35 1 3 0 0 1 0 1 1 0 5 0 0 3 0 0 2 1 0 1 5 0 2 12 1 12 0 0 1 1 0 1 1 0 0 0 0 0 26 0 0 5 0 1 1 5 12 3 16 3 1 12 3 2 0 0 2 0 4 11 0 1 0 14 0 4 1 1 0 0 4 1 0 2 0 25 3 10 5 1 0 2 10 29 0 4 0 0 10 1 1 2 16 0 0 0 0 2 0 1 0 8 0 10 3 0 0 0 0 0 1 0 3 1 59 0 0 0 8 54 0 1 3 2 0 0 11 3 1 1 0 20 1 0 0 0 221 0 11 3 0 0 0 9 13 0 1 4 2 5 0 1 7 0 454 0 0 0 5 2 0 0 0 3 0 0 8 0 1 0 4 1 1 0 11 1 2 2 4 0 1 0 1 3 8 0 2 2 0 5 4 1 0 0 12 0 0 18 4 2 3 1 2 1 0 0 18 1 0 1 0 0 0 1 0 4 3 0 3 1 2 4 0 0 10 5 1 2 0 2 0 0 0 0 0 0 0 29 0 4 2 0 0 0 1 2 1 4 1 0 0 1 0 1 0 21 0 0 1 0 0 0 0 2 3 0 1 0 0 0 0 0 1 11 1 2 8 0 1 3 0 1 0 1 0 0 4 2 0 0 66 0 3 0 0 7 1 1 1 0 0 0 2 2 0 4 5 1 30 3 6 0 4 0 5 7 0 0 0 0 2 1 3 1 4 0 0 1 5 356 0 4 1 1 1 0 2 3 0 3 1 1 3 2 0 0 0 5 2 17 6 0 1 6 5 0 1 0 0 7 0 73 0 6 1 17 71 0 498 10 0 2 7 4 0 0 2 0 0 0 0 1 6 3 0 12 0 2 1 0 4 28 8 7 3 4 0 0 0 0 1 2 1 0 0 1 2 0 31 0 11 5 1 0 8 0 0 2 18 1 10 1 219 0 1 3 11 0 9 0 3 1 0 0 0
"cell_6" 3 0 1 0 0 0 49 2 41 0 2 10 0 0 13 6 2 3 2 3 0 21 2 3 0 0 1 0 0 2 11 2 0 0 0 0 3 1 1 0 13 1 0 0 0 1 2 1 0 1 2 0 9 6 5 1 0 0 4 21 7 0 0 0 1 121 0 1 0 0 6 0 0 0 0 2 0 0 3 4 3 3 9 0 10 3 0 0 7 0 14 4 1 0 0 0 0 0 12 0 0 0 0 28 0 0 12 0 1 1 1 8 5 7 2 0 8 3 0 1 1 2 0 2 2 0 2 2 6 0 2 0 4 0 0 0 0 1 2 3 19 3 11 8 1 0 3 5 27 0 1 0 0 5 0 3 1 9 0 0 2 0 2 0 0 0 8 0 9 4 0 0 0 1 0 3 0 10 0 52 0 0 0 6 106 0 1 0 1 0 2 8 7 0 2 0 14 0 2 0 0 183 0 6 0 0 0 0 0 17 0 0 3 1 6 0 0 3 0 264 0 1 0 4 1 0 0 0 4 0 1 4 2 8 1 5 0 1 2 7 5 8 5 5 1 0 2 8 4 17 1 1 1 0 7 1 1 0 0 7 2 0 10 5 2 1 1 0 0 0 0 10 0 0 0 0 0 0 0 1 4 1 1 1 0 0 4 0 1 3 3 0 1 4 0 0 0 0 0 0 0 0 7 0 1 1 1 0 0 0 7 3 1 0 0 0 0 0 0 0 30 0 1 0 0 1 1 2 0 6 0 3 1 0 0 0 1 2 45 1 0 0 1 0 0 0 0 0 0 0 2 2 1 1 2 65 0 1 1 8 0 6 0 3 0 2 0 1 2 0 3 3 5 25 0 0 0 1 2 5 1 1 3 0 0 2 1 0 7 4 2 8 0 5 324 0 2 0 0 3 1 1 0 0 0 0 0 1 1 1 0 0 1 3 20 2 0 0 16 1 2 0 0 0 6 9 43 0 2 1 7 48 1 329 0 0 3 8 8 0 2 3 0 1 0 2 0 4 2 0 6 1 0 4 0 1 7 4 2 0 3 0 0 2 0 2 0 0 0 1 1 0 3 29 0 2 3 2 0 0 0 1 1 16 0 0 0 143 0 0 0 3 0 22 0 1 1 2 0 0
"cell_7" 4 0 0 0 0 0 26 0 13 0 0 0 1 0 4 3 0 0 4 6 0 9 0 2 3 4 5 0 0 1 13 1 0 0 7 0 2 2 0 1 5 4 0 0 0 0 0 0 0 0 0 0 11 3 4 0 0 0 4 18 5 0 0 0 0 80 0 2 2 0 0 0 1 0 1 0 0 0 2 0 0 4 1 1 6 3 0 1 2 0 7 2 0 1 1 0 1 0 9 0 0 2 0 17 0 1 9 0 0 0 1 0 6 2 0 2 6 1 0 0 0 2 0 0 11 1 3 0 5 2 4 6 1 0 2 2 0 0 0 6 24 5 13 5 1 0 3 5 23 0 0 2 0 5 0 1 0 5 1 1 2 0 1 0 1 0 7 0 10 0 0 1 0 0 0 1 1 4 0 35 1 0 0 4 41 1 0 3 0 0 0 5 4 1 4 0 9 4 4 1 0 176 1 13 1 0 3 0 0 12 2 0 0 0 5 0 1 0 0 269 0 1 0 6 0 1 0 4 4 0 0 1 1 0 0 5 0 1 0 4 0 4 3 1 0 1 0 0 0 12 1 0 5 1 3 4 0 0 0 13 0 0 15 3 0 5 0 0 1 0 1 9 0 0 1 1 0 0 1 0 1 6 1 0 0 0 2 1 1 9 2 0 6 3 0 0 1 0 1 0 1 0 2 2 3 0 1 0 0 0 3 0 2 0 0 0 1 2 0 0 7 0 1 0 2 0 0 1 7 7 0 0 1 0 0 2 1 2 31 1 3 7 1 0 1 0 0 2 1 0 0 2 1 0 3 29 0 3 0 8 4 2 0 3 0 0 0 0 0 0 2 1 2 31 5 2 2 0 1 2 8 0 1 0 1 6 0 0 2 2 1 6 0 2 324 2 4 1 0 1 1 1 3 0 0 1 0 5 11 1 0 0 1 1 8 4 0 0 6 0 0 3 0 2 2 0 40 4 0 0 3 44 1 269 4 0 0 4 4 0 0 0 0 0 0 3 2 5 4 0 7 0 0 4 0 2 28 0 1 0 9 0 0 0 1 0 3 0 0 1 0 0 0 13 0 4 6 2 0 0 0 1 0 12 0 0 1 32 0 1 1 0 4 3 1 0 3 2 0 0
"cell_8" 0 0 1 0 14 0 33 0 43 1 0 2 0 0 8 1 0 1 5 8 0 18 4 8 0 0 5 0 0 0 16 2 0 1 4 0 0 1 2 1 26 8 2 0 5 0 2 0 1 9 0 0 9 3 5 2 0 0 7 26 16 0 2 0 0 106 0 0 0 0 1 0 2 0 0 0 0 0 2 2 0 6 2 4 3 8 0 3 6 0 12 0 3 0 0 1 0 0 14 0 0 0 0 25 0 1 6 0 0 2 1 2 1 6 1 0 5 2 0 0 0 1 0 3 2 1 1 3 5 0 2 0 3 0 2 0 3 0 4 0 7 2 8 3 1 0 0 11 43 1 6 0 1 2 1 1 2 10 0 0 2 0 0 0 1 0 3 0 13 2 0 1 0 1 0 0 0 11 1 72 1 0 1 2 55 0 0 3 6 2 2 7 10 1 1 0 15 0 0 0 0 231 1 12 3 0 1 0 0 20 1 0 3 1 2 0 0 0 0 411 0 7 0 3 3 2 0 0 0 0 2 3 5 1 0 4 1 0 0 9 1 6 0 13 0 0 2 12 1 12 0 0 1 0 6 5 0 0 0 11 0 0 25 4 1 12 1 0 2 0 1 3 0 0 1 4 0 5 3 0 0 1 4 0 0 0 0 0 2 3 10 3 3 2 0 0 0 1 1 1 0 1 3 5 0 3 0 0 0 0 3 3 4 0 0 0 0 4 1 0 26 0 0 2 1 0 0 2 4 9 0 0 0 1 0 2 1 3 66 1 3 0 2 0 0 0 0 2 2 0 0 2 1 1 4 70 0 1 2 5 6 5 0 4 0 0 0 0 0 0 0 3 1 28 10 0 0 0 0 3 9 2 4 1 1 10 2 0 7 3 0 0 1 8 315 0 4 1 0 0 1 2 2 0 6 0 0 8 5 1 0 0 1 4 26 3 0 0 9 4 3 0 0 0 8 3 88 1 2 2 15 51 0 448 2 0 0 8 12 1 2 2 0 0 0 0 0 7 1 0 14 0 4 9 0 3 27 16 3 3 20 0 0 0 0 0 2 0 0 3 1 3 2 14 0 11 9 1 0 0 0 0 3 17 0 5 0 71 1 0 2 2 0 18 0 2 1 1 0 0
"cell_9" 1 0 1 0 0 0 48 1 91 1 2 1 0 1 0 5 0 2 3 4 1 8 2 9 6 2 15 0 1 3 5 1 0 1 4 1 2 0 1 2 52 12 1 0 8 0 1 0 0 9 0 0 9 2 9 1 0 0 2 30 6 0 1 0 2 40 7 1 0 0 2 0 0 1 0 1 0 0 4 2 6 3 0 2 7 1 2 0 13 0 8 3 0 2 0 0 0 3 11 0 0 2 0 37 0 0 29 3 0 0 7 0 4 14 2 1 6 0 0 0 0 6 0 3 6 0 4 0 9 0 4 0 14 1 0 3 0 1 5 2 23 1 2 1 1 2 2 5 13 0 0 1 2 0 3 0 0 7 0 0 2 0 1 0 0 0 6 0 9 6 0 2 0 0 0 0 2 2 0 48 0 0 0 7 55 0 0 1 0 1 0 6 3 1 5 0 30 4 0 0 0 287 0 10 0 0 6 0 1 23 0 0 1 2 11 0 0 1 2 51 3 2 0 4 1 4 0 0 5 0 1 1 1 14 0 5 0 1 0 14 4 10 5 5 0 1 1 2 1 36 4 3 5 0 9 3 6 1 0 14 1 0 22 8 3 5 1 1 3 1 3 16 0 1 1 1 0 4 3 0 7 16 4 0 0 0 3 1 3 0 0 0 2 2 0 2 4 0 1 0 0 0 10 4 12 0 0 4 0 0 3 4 3 0 4 0 3 1 0 0 22 1 0 2 2 0 0 0 10 1 0 4 2 0 0 4 2 3 25 4 0 7 0 0 1 0 0 1 4 0 0 2 2 0 1 20 0 7 0 20 9 4 0 9 0 0 1 0 1 0 1 7 1 77 0 0 0 2 0 11 10 3 1 2 0 2 0 0 3 0 0 4 1 14 342 0 2 0 0 2 2 0 1 0 2 0 1 2 8 0 0 1 1 2 10 2 0 0 8 1 2 0 0 1 28 5 21 0 2 4 9 59 3 259 0 2 3 20 10 1 0 1 0 1 0 2 3 2 0 0 6 0 3 5 0 2 28 9 15 0 11 0 2 2 0 0 5 0 0 1 0 4 0 23 0 11 11 2 0 24 1 1 1 9 3 17 1 229 0 2 1 0 2 5 0 2 2 1 0 0
"cell_10" 0 0 1 1 8 0 59 3 14 2 0 1 0 3 0 3 0 1 4 10 0 8 7 9 2 0 14 0 0 4 7 0 1 1 2 0 0 0 3 0 1 12 4 0 0 0 8 0 0 2 2 0 2 4 9 3 0 0 16 33 2 1 1 1 0 120 1 0 6 0 2 0 0 1 0 1 0 0 4 1 3 0 1 0 2 3 2 3 9 0 14 0 1 0 0 0 5 5 0 0 0 2 0 34 0 0 10 0 0 3 5 3 5 14 2 1 0 2 0 0 1 0 4 3 11 2 2 0 15 4 6 0 2 0 0 0 0 2 0 0 39 3 12 2 1 0 1 5 13 0 10 4 0 3 1 0 1 5 0 4 2 0 3 2 0 0 3 0 5 4 0 1 0 1 0 0 1 1 0 43 0 0 0 6 33 0 3 4 6 0 2 10 6 2 3 0 32 5 0 1 0 367 2 14 0 0 4 0 8 15 0 0 1 2 19 0 1 3 6 65 0 1 0 1 3 1 0 0 0 0 1 3 6 0 0 7 1 0 1 14 3 7 1 6 0 0 0 7 2 44 1 5 0 0 1 5 9 0 0 15 0 0 24 4 1 6 0 0 2 2 0 16 0 1 0 2 2 7 14 0 7 0 1 0 1 0 3 1 1 1 3 1 2 0 5 0 3 1 1 0 1 0 16 0 4 1 0 1 0 1 5 19 4 0 1 3 1 0 0 0 20 0 0 2 0 0 1 5 1 2 2 1 5 1 2 3 0 3 16 0 1 0 1 3 6 0 0 1 0 0 0 6 0 0 3 23 0 13 1 3 7 1 1 12 0 0 2 2 0 0 2 5 2 60 11 3 1 0 1 14 18 1 0 1 3 5 0 0 31 2 0 1 2 15 528 0 5 3 3 2 2 3 4 0 7 0 3 15 18 2 0 0 3 3 6 3 2 2 7 0 0 4 1 0 13 11 15 0 0 6 21 103 1 311 0 0 0 8 11 0 0 1 0 0 0 1 0 5 2 0 2 0 3 2 0 2 24 2 6 0 1 0 0 1 1 2 4 0 6 0 0 0 0 13 0 7 6 1 0 3 3 1 7 19 1 21 1 99 0 2 1 3 2 1 0 3 3 0 1 0
